Event Number,CAR,(CAR_j - CARbar)^2,,,,,,,,Statistics,
1,-0.066544113,0.0030,,,,,,,,Average CAR,-0.0120
2,0.060804358,0.0053,,,,,,,,Total squared deviation from the mean,3.9556
3,-0.067772727,0.0031,,,,,,,,"Number of observations, N",434
4,0.018944296,0.0010,,,,,,,,Variance of CAR,0.0091
5,-0.01389824,0.0000,,,,,,,,Standard dev of CAR,0.0956
6,-0.073232651,0.0037,,,,,,,,t stat,-2.6188
7,-0.05088864,0.0015,,,,,,,,,
8,-9.68E-05,0.0001,,,,,,,,,
9,-0.07276699,0.0037,,,,,,,,,
10,-0.03057644,0.0003,,,,,,,,,
11,-0.190055881,0.0317,,,,,,,,,
12,0.215521458,0.0518,,,,,,,,,
13,0.012934469,0.0006,,,,,,,,,
14,-0.134734956,0.0151,,,,,,,,,
15,0.147410309,0.0254,,,,,,,,,
16,0.016439661,0.0008,,,,,,,,,
17,-0.067878342,0.0031,,,,,,,,,
18,-0.004285449,0.0001,,,,,,,,,
19,-0.153714292,0.0201,,,,,,,,,
20,-0.04122469,0.0009,,,,,,,,,
21,0.093814014,0.0112,,,,,,,,,
22,-0.111951432,0.0100,,,,,,,,,
23,-0.040994474,0.0008,,,,,,,,,
24,0.038957841,0.0026,,,,,,,,,
25,0.03670093,0.0024,,,,,,,,,
26,0.038000143,0.0025,,,,,,,,,
27,-0.028176397,0.0003,,,,,,,,,
28,0.074607759,0.0075,,,,,,,,,
29,-0.04552444,0.0011,,,,,,,,,
30,0.007414177,0.0004,,,,,,,,,
31,0.080741392,0.0086,,,,,,,,,
32,0.246933586,0.0671,,,,,,,,,
33,-0.012213856,0.0000,,,,,,,,,
34,-0.09252076,0.0065,,,,,,,,,
35,-0.203047103,0.0365,,,,,,,,,
36,-0.131815933,0.0144,,,,,,,,,
37,0.110494374,0.0150,,,,,,,,,
38,0.035364427,0.0022,,,,,,,,,
39,-0.084403065,0.0052,,,,,,,,,
40,-0.034519668,0.0005,,,,,,,,,
41,0.029289685,0.0017,,,,,,,,,
42,0.049844265,0.0038,,,,,,,,,
43,-0.001013087,0.0001,,,,,,,,,
44,-0.063338258,0.0026,,,,,,,,,
45,0.009322411,0.0005,,,,,,,,,
46,0.108510311,0.0145,,,,,,,,,
47,0.098260988,0.0122,,,,,,,,,
48,0.041984866,0.0029,,,,,,,,,
49,0.013794169,0.0007,,,,,,,,,
50,0.066202437,0.0061,,,,,,,,,
51,-0.040940246,0.0008,,,,,,,,,
52,-0.099313321,0.0076,,,,,,,,,
53,-0.143594799,0.0173,,,,,,,,,
54,0.093683046,0.0112,,,,,,,,,
55,-0.100675062,0.0079,,,,,,,,,
56,0.001649459,0.0002,,,,,,,,,
57,-0.08211182,0.0049,,,,,,,,,
58,-0.029348622,0.0003,,,,,,,,,
59,-0.10361273,0.0084,,,,,,,,,
60,-0.108666792,0.0093,,,,,,,,,
61,0.002769501,0.0002,,,,,,,,,
62,-0.016968125,0.0000,,,,,,,,,
63,-0.011345402,0.0000,,,,,,,,,
64,-0.02887091,0.0003,,,,,,,,,
65,0.071633939,0.0070,,,,,,,,,
66,0.055290547,0.0045,,,,,,,,,
67,-0.163192136,0.0229,,,,,,,,,
68,0.027265832,0.0015,,,,,,,,,
69,-0.130363015,0.0140,,,,,,,,,
70,-0.037590463,0.0007,,,,,,,,,
71,-0.109276608,0.0095,,,,,,,,,
72,0.056900807,0.0047,,,,,,,,,
73,-0.133305685,0.0147,,,,,,,,,
74,-0.224577571,0.0452,,,,,,,,,
75,0.061189302,0.0054,,,,,,,,,
76,0.127351858,0.0194,,,,,,,,,
77,0.001987108,0.0002,,,,,,,,,
78,0.022846597,0.0012,,,,,,,,,
79,-0.00652076,0.0000,,,,,,,,,
80,0.02144984,0.0011,,,,,,,,,
81,-0.016931746,0.0000,,,,,,,,,
82,0.141214376,0.0235,,,,,,,,,
83,-0.185436557,0.0301,,,,,,,,,
84,-0.069076715,0.0033,,,,,,,,,
85,0.025399548,0.0014,,,,,,,,,
86,-0.066168264,0.0029,,,,,,,,,
87,0.018971808,0.0010,,,,,,,,,
88,-0.081451982,0.0048,,,,,,,,,
89,-0.049518827,0.0014,,,,,,,,,
90,-0.077112328,0.0042,,,,,,,,,
91,0.148264779,0.0257,,,,,,,,,
92,-0.056573777,0.0020,,,,,,,,,
93,0.053525899,0.0043,,,,,,,,,
94,0.071862904,0.0070,,,,,,,,,
95,-0.018743004,0.0000,,,,,,,,,
96,0.02283591,0.0012,,,,,,,,,
97,0.091236051,0.0107,,,,,,,,,
98,-0.139578243,0.0163,,,,,,,,,
99,0.035022912,0.0022,,,,,,,,,
100,0.088968908,0.0102,,,,,,,,,
101,0.057663191,0.0049,,,,,,,,,
102,-0.186153239,0.0303,,,,,,,,,
103,-0.016605919,0.0000,,,,,,,,,
104,0.061799118,0.0054,,,,,,,,,
105,0.114611884,0.0160,,,,,,,,,
106,-0.091192443,0.0063,,,,,,,,,
107,-0.065741143,0.0029,,,,,,,,,
108,-0.008981852,0.0000,,,,,,,,,
109,0.088925025,0.0102,,,,,,,,,
110,-0.242927537,0.0533,,,,,,,,,
111,0.008145752,0.0004,,,,,,,,,
112,0.081784127,0.0088,,,,,,,,,
113,0.085069904,0.0094,,,,,,,,,
114,-0.085779585,0.0054,,,,,,,,,
115,-0.08335942,0.0051,,,,,,,,,
116,0.086155613,0.0096,,,,,,,,,
117,0.249334652,0.0683,,,,,,,,,
118,0.084020802,0.0092,,,,,,,,,
119,-0.007996983,0.0000,,,,,,,,,
120,0.076974492,0.0079,,,,,,,,,
121,-0.048446874,0.0013,,,,,,,,,
122,0.020583206,0.0011,,,,,,,,,
123,0.02302031,0.0012,,,,,,,,,
124,-0.027408783,0.0002,,,,,,,,,
125,0.0459921,0.0034,,,,,,,,,
126,-0.232259164,0.0485,,,,,,,,,
127,-0.126709802,0.0132,,,,,,,,,
128,-0.160371793,0.0220,,,,,,,,,
129,-0.10758995,0.0091,,,,,,,,,
130,-0.018266998,0.0000,,,,,,,,,
131,-0.010979103,0.0000,,,,,,,,,
132,0.230066097,0.0586,,,,,,,,,
133,-0.052349288,0.0016,,,,,,,,,
134,0.026301312,0.0015,,,,,,,,,
135,-0.047014533,0.0012,,,,,,,,,
136,-0.184250576,0.0297,,,,,,,,,
137,-0.02558968,0.0002,,,,,,,,,
138,0.007152811,0.0004,,,,,,,,,
139,0.027194209,0.0015,,,,,,,,,
140,0.035372613,0.0022,,,,,,,,,
141,0.046606919,0.0034,,,,,,,,,
142,0.010109806,0.0005,,,,,,,,,
143,-0.054990688,0.0018,,,,,,,,,
144,0.014397846,0.0007,,,,,,,,,
145,0.071499334,0.0070,,,,,,,,,
146,-0.026938234,0.0002,,,,,,,,,
147,0.153083282,0.0273,,,,,,,,,
148,0.214961209,0.0515,,,,,,,,,
149,0.078800075,0.0082,,,,,,,,,
150,-0.052698989,0.0017,,,,,,,,,
151,0.173423676,0.0344,,,,,,,,,
152,0.00256225,0.0002,,,,,,,,,
153,0.057102942,0.0048,,,,,,,,,
154,0.044571242,0.0032,,,,,,,,,
155,0.018424179,0.0009,,,,,,,,,
156,-0.057599119,0.0021,,,,,,,,,
157,-0.047087634,0.0012,,,,,,,,,
158,-0.034160076,0.0005,,,,,,,,,
159,-0.086265255,0.0055,,,,,,,,,
160,-0.068452347,0.0032,,,,,,,,,
161,-0.018018023,0.0000,,,,,,,,,
162,-0.10485419,0.0086,,,,,,,,,
163,-0.07557369,0.0040,,,,,,,,,
164,-0.049946176,0.0014,,,,,,,,,
165,-0.020060066,0.0001,,,,,,,,,
166,-0.009332008,0.0000,,,,,,,,,
167,-0.042137368,0.0009,,,,,,,,,
168,-0.126686383,0.0131,,,,,,,,,
169,0.109947313,0.0149,,,,,,,,,
170,-0.008953885,0.0000,,,,,,,,,
171,0.044457669,0.0032,,,,,,,,,
172,-0.108519908,0.0093,,,,,,,,,
173,0.068985263,0.0066,,,,,,,,,
174,-0.083521764,0.0051,,,,,,,,,
175,-0.050985728,0.0015,,,,,,,,,
176,-0.013254659,0.0000,,,,,,,,,
177,-0.033086873,0.0004,,,,,,,,,
178,0.033110245,0.0020,,,,,,,,,
179,-0.17836751,0.0277,,,,,,,,,
180,-0.109738177,0.0095,,,,,,,,,
181,-0.056255113,0.0020,,,,,,,,,
182,-0.099774207,0.0077,,,,,,,,,
183,0.091456603,0.0107,,,,,,,,,
184,0.035127617,0.0022,,,,,,,,,
185,-0.139049827,0.0161,,,,,,,,,
186,0.022883659,0.0012,,,,,,,,,
187,0.09303776,0.0110,,,,,,,,,
188,0.017468982,0.0009,,,,,,,,,
189,-0.072422291,0.0036,,,,,,,,,
190,0.064862751,0.0059,,,,,,,,,
191,-0.038684699,0.0007,,,,,,,,,
192,-0.1486741,0.0187,,,,,,,,,
193,-0.021165102,0.0001,,,,,,,,,
194,0.021940626,0.0012,,,,,,,,,
195,-0.021575398,0.0001,,,,,,,,,
196,-0.091628318,0.0063,,,,,,,,,
197,0.072742158,0.0072,,,,,,,,,
198,-0.025159148,0.0002,,,,,,,,,
199,-0.08618431,0.0055,,,,,,,,,
200,-0.026520093,0.0002,,,,,,,,,
201,0.046902959,0.0035,,,,,,,,,
202,-0.101452452,0.0080,,,,,,,,,
203,-0.102494279,0.0082,,,,,,,,,
204,-0.109708618,0.0095,,,,,,,,,
205,0.005033006,0.0003,,,,,,,,,
206,-0.142026148,0.0169,,,,,,,,,
207,-0.115802005,0.0108,,,,,,,,,
208,-0.109960093,0.0096,,,,,,,,,
209,-0.206723281,0.0379,,,,,,,,,
210,-0.282683369,0.0733,,,,,,,,,
211,0.082448968,0.0089,,,,,,,,,
212,-0.101188244,0.0080,,,,,,,,,
213,-0.104521315,0.0086,,,,,,,,,
214,0.13351232,0.0212,,,,,,,,,
215,-0.082506541,0.0050,,,,,,,,,
216,0.017933052,0.0009,,,,,,,,,
217,0.159671207,0.0295,,,,,,,,,
218,-0.076284915,0.0041,,,,,,,,,
219,-0.087276613,0.0057,,,,,,,,,
220,0.022219728,0.0012,,,,,,,,,
221,-0.162623702,0.0227,,,,,,,,,
222,-0.183932253,0.0296,,,,,,,,,
223,-0.039375574,0.0007,,,,,,,,,
224,-0.063991275,0.0027,,,,,,,,,
225,-0.150069037,0.0191,,,,,,,,,
226,0.002472779,0.0002,,,,,,,,,
227,0.083236363,0.0091,,,,,,,,,
228,-0.002422463,0.0001,,,,,,,,,
229,-0.036874009,0.0006,,,,,,,,,
230,0.077119102,0.0079,,,,,,,,,
231,0.080971266,0.0086,,,,,,,,,
232,0.128988039,0.0199,,,,,,,,,
233,-0.168017005,0.0243,,,,,,,,,
234,0.030946784,0.0018,,,,,,,,,
235,0.185208909,0.0389,,,,,,,,,
236,-0.147192533,0.0183,,,,,,,,,
237,-0.028318847,0.0003,,,,,,,,,
238,-0.045862999,0.0011,,,,,,,,,
239,-0.167222562,0.0241,,,,,,,,,
240,0.066441861,0.0062,,,,,,,,,
241,-0.13426452,0.0149,,,,,,,,,
242,-0.223375219,0.0447,,,,,,,,,
243,-0.017314643,0.0000,,,,,,,,,
244,-0.068960072,0.0032,,,,,,,,,
245,-0.055688725,0.0019,,,,,,,,,
246,0.079995379,0.0085,,,,,,,,,
247,0.024665586,0.0013,,,,,,,,,
248,-0.007906602,0.0000,,,,,,,,,
249,0.099424459,0.0124,,,,,,,,,
250,-0.026575004,0.0002,,,,,,,,,
251,-0.152569693,0.0198,,,,,,,,,
252,-0.120251481,0.0117,,,,,,,,,
253,-0.064707389,0.0028,,,,,,,,,
254,0.253285497,0.0704,,,,,,,,,
255,0.106356855,0.0140,,,,,,,,,
256,0.151148787,0.0266,,,,,,,,,
257,0.07198796,0.0071,,,,,,,,,
258,-0.058923912,0.0022,,,,,,,,,
259,-0.102486548,0.0082,,,,,,,,,
